"participantid","ppt_included","block","trialnumber_withinblock","shape","location_deviant","deviant_type","orientation","validtrial","sumvalidtrials_overall","proponscreen_shapes_on_1","proponscreen_shapes_on_2","shape_w_duck_car","gaze_topright_2","gaze_bottomleft_3","gaze_bottomright_4","gaze_centre","gaze_onscreen_elsewhere","gaze_nogaze","gaze_topleft_1","gaze_offscreen","total_dwell_shapes","total_dwell_deviant","prop_look_dev"
101,1,1,1,"square",1,1,5,1,17,1,0.933333333333333,"square",109,39,45,28,10,8,0,0,193,0,0
101,1,1,2,"object",3,1,25,1,17,1,1,"car",37,162,0,16,24,0,0,0,199,162,0.814070351758794
101,1,1,3,"isosceles_triangle",3,1,5,1,17,1,0.941666666666667,"isosceles_triangle",149,0,37,30,16,7,0,0,186,0,0
101,1,1,4,"rhombus",4,1,25,1,17,0.92436974789916,0.975,"rhombus",54,46,49,33,4,12,41,0,190,49,0.257894736842105
101,1,1,5,"pentagon",1,1,5,1,17,1,0.95,"pentagon",119,0,47,22,2,6,44,0,210,44,0.20952380952381
101,1,1,6,"equilateral_triangle",2,1,25,1,17,1,0.933333333333333,"equilateral_triangle",141,0,25,28,2,8,35,0,201,141,0.701492537313433
101,1,2,1,"square",2,2,5,1,17,1,0.941666666666667,"square",125,0,41,25,1,7,40,0,206,125,0.606796116504854
101,1,2,2,"object",2,2,25,1,17,0.974789915966387,0.958333333333333,"duck",45,116,0,11,7,8,52,0,213,45,0.211267605633803
101,1,2,3,"isosceles_triangle",4,2,5,1,17,1,0.95,"isosceles_triangle",68,0,26,17,21,6,101,0,195,26,0.133333333333333
101,1,2,4,"rhombus",3,2,25,1,17,1,1,"rhombus",78,110,0,33,19,0,0,0,188,110,0.585106382978723
101,1,2,5,"pentagon",1,2,5,1,17,0.949579831932773,0.958333333333333,"pentagon",121,0,34,29,9,11,35,0,190,35,0.184210526315789
101,1,2,6,"equilateral_triangle",3,2,25,1,17,0.949579831932773,1,"equilateral_triangle",179,0,0,15,2,6,38,0,217,0,0
101,1,3,1,"square",3,1,355,1,17,0.974789915966387,1,"square",107,31,0,29,5,3,64,0,202,31,0.153465346534653
101,1,3,2,"object",0,1,325,0,17,0.957983193277311,1,"car",59,42,54,10,14,5,55,0,210,NA,NA
101,1,3,3,"isosceles_triangle",1,1,355,1,17,1,1,"isosceles_triangle",68,73,0,7,29,0,62,0,203,62,0.305418719211823
101,1,3,4,"rhombus",2,1,325,1,17,0.949579831932773,1,"rhombus",119,0,20,25,16,6,53,0,192,119,0.619791666666667
101,1,3,5,"pentagon",1,1,355,1,17,0.899159663865546,1,"pentagon",149,25,0,23,25,12,5,0,179,5,0.0279329608938547
101,1,3,6,"equilateral_triangle",4,1,325,1,17,0.873949579831933,0.867768595041322,"equilateral_triangle",139,0,0,21,20,31,29,0,168,0,0
102,1,1,1,"square",2,1,25,1,10,1,0.991666666666667,"square",43,78,0,28,21,1,68,0,189,43,0.227513227513228
102,1,1,2,"equilateral_triangle",1,1,5,1,10,1,1,"equilateral_triangle",41,53,25,29,15,0,77,0,196,77,0.392857142857143
102,1,1,3,"object",0,1,25,0,10,0.991596638655462,0.991666666666667,"car",58,24,77,26,15,1,37,1,196,NA,NA
102,1,1,4,"pentagon",3,1,5,1,10,0.899159663865546,1,"pentagon",4,56,29,30,47,11,61,1,150,56,0.373333333333333
102,1,1,5,"rhombus",2,1,25,1,10,0.991596638655462,0.925,"rhombus",24,48,30,25,50,10,52,0,154,24,0.155844155844156
102,1,1,6,"isosceles_triangle",1,1,5,1,10,1,0.991666666666667,"isosceles_triangle",62,35,30,24,23,1,64,0,191,64,0.335078534031414
102,1,2,1,"square",3,2,355,0,10,0.378151260504202,0.916666666666667,"square",62,0,0,26,17,84,50,0,112,0,0
102,1,2,2,"equilateral_triangle",4,2,325,1,10,1,0.766666666666667,"equilateral_triangle",92,0,0,0,60,16,59,12,151,0,0
102,1,2,3,"object",2,2,355,1,10,0.92436974789916,0.85,"duck",31,111,24,6,40,25,0,2,166,31,0.186746987951807
102,1,2,4,"pentagon",2,2,325,1,10,1,0.766666666666667,"pentagon",13,112,20,28,38,11,0,17,145,13,0.0896551724137931
102,1,2,5,"rhombus",3,2,355,1,10,0.932773109243697,1,"rhombus",0,127,0,27,17,0,60,8,187,127,0.679144385026738
102,1,2,6,"isosceles_triangle",4,2,325,1,10,0.957983193277311,0.87603305785124,"isosceles_triangle",61,54,1,19,34,20,51,0,167,1,0.00598802395209581
103,1,1,1,"square",2,1,25,1,18,1,1,"square",65,124,0,29,21,0,0,0,189,65,0.343915343915344
103,1,1,2,"equilateral_triangle",1,1,5,1,18,1,1,"equilateral_triangle",135,18,0,7,41,0,38,0,191,38,0.198952879581152
103,1,1,3,"object",0,1,25,0,18,1,0.875,"car",96,0,62,4,11,1,51,14,209,NA,NA
103,1,1,4,"pentagon",3,1,5,1,18,1,1,"pentagon",108,0,120,9,2,0,0,0,228,0,0
103,1,1,5,"rhombus",2,1,25,1,18,1,0.941666666666667,"rhombus",120,0,81,3,28,0,0,7,201,120,0.597014925373134
103,1,1,6,"isosceles_triangle",1,1,5,1,18,1,1,"isosceles_triangle",149,0,71,5,14,0,0,0,220,0,0
103,1,2,1,"square",3,2,355,1,18,1,1,"square",102,56,46,7,9,0,19,0,223,56,0.251121076233184
103,1,2,2,"equilateral_triangle",4,2,325,1,18,1,1,"equilateral_triangle",123,0,106,4,6,0,0,0,229,106,0.462882096069869
103,1,2,3,"object",2,2,355,1,18,1,1,"duck",47,48,77,3,7,0,57,0,229,47,0.205240174672489
103,1,2,4,"pentagon",2,2,325,1,18,0.974789915966387,0.537190082644628,"pentagon",57,0,84,4,36,20,0,39,141,57,0.404255319148936
103,1,2,5,"rhombus",3,2,355,1,18,1,0.641666666666667,"rhombus",89,0,72,4,31,5,0,38,161,0,0
103,1,2,6,"isosceles_triangle",4,2,325,1,18,0.789915966386555,0.633333333333333,"isosceles_triangle",86,0,69,5,10,3,0,66,155,69,0.445161290322581
103,1,3,1,"square",4,1,325,1,18,0.941176470588235,0.933333333333333,"square",57,0,145,7,15,0,0,15,202,145,0.717821782178218
103,1,3,2,"equilateral_triangle",3,1,355,1,18,1,0.566666666666667,"equilateral_triangle",58,0,75,7,48,0,0,52,133,0,0
103,1,3,3,"object",3,1,325,1,18,1,1,"car",50,111,52,4,15,0,7,0,220,111,0.504545454545455
103,1,3,4,"pentagon",1,1,355,1,18,0.915966386554622,0.644628099173554,"pentagon",78,0,77,4,28,0,0,53,155,0,0
103,1,3,5,"rhombus",4,1,325,1,18,1,1,"rhombus",220,0,0,4,15,0,0,0,220,0,0
103,1,3,6,"isosceles_triangle",3,1,355,0,18,1,0.355371900826446,"isosceles_triangle",86,0,66,3,7,0,0,78,152,0,0
103,1,4,1,"square",1,2,5,1,18,1,0.869918699186992,"square",76,0,92,8,50,0,0,16,168,0,0
103,1,4,2,"equilateral_triangle",2,2,25,0,18,1,0.379310344827586,"equilateral_triangle",86,0,61,9,7,66,0,6,147,86,0.585034013605442
103,1,4,3,"object",4,2,5,0,18,0,0,"duck",0,0,0,0,0,234,0,0,0,0,NA
103,1,4,4,"pentagon",4,2,25,1,18,0.826446280991736,0.55,"pentagon",85,60,0,1,20,75,0,0,145,0,0
103,1,4,5,"rhombus",1,2,5,0,18,0.933333333333333,0,"rhombus",0,37,14,23,38,123,0,1,51,0,0
103,1,4,6,"isosceles_triangle",2,2,25,0,18,0.92436974789916,0,"isosceles_triangle",39,0,0,9,5,6,57,123,96,39,0.40625
104,0,1,1,"square",3,2,355,1,10,0.882352941176471,0.916666666666667,"square",73,0,103,0,39,0,0,24,176,0,0
104,0,1,2,"isosceles_triangle",4,2,325,1,10,0.823529411764706,0.516666666666667,"isosceles_triangle",55,19,0,45,28,21,13,58,87,0,0
104,0,1,3,"pentagon",1,2,355,1,10,0.848739495798319,0.783333333333333,"pentagon",43,54,0,41,44,44,13,0,110,13,0.118181818181818
104,0,1,4,"object",3,2,325,1,10,0.983333333333333,1,"car",107,20,39,7,19,2,46,0,212,20,0.0943396226415094
104,0,1,5,"equilateral_triangle",3,2,355,0,10,0.378151260504202,0.375,"equilateral_triangle",0,0,32,21,18,6,19,143,51,0,0
104,0,1,6,"rhombus",4,2,325,0,10,0.781512605042017,0.458333333333333,"rhombus",0,38,43,50,2,9,15,82,96,43,0.447916666666667
104,0,2,1,"square",4,1,325,1,10,0.596638655462185,0.541666666666667,"square",50,1,0,47,37,8,1,95,52,0,0
104,0,2,2,"isosceles_triangle",3,1,355,0,10,0.915966386554622,0.491666666666667,"isosceles_triangle",31,1,0,63,41,10,32,61,64,1,0.015625
104,0,2,3,"pentagon",2,1,325,1,10,0.764705882352941,0.776859504132231,"pentagon",35,4,37,63,11,38,35,17,111,35,0.315315315315315
104,0,2,4,"object",2,1,355,1,10,1,1,"duck",93,0,45,3,16,0,82,0,220,93,0.422727272727273
104,0,2,5,"equilateral_triangle",4,1,325,1,10,0.697478991596639,0.743589743589744,"equilateral_triangle",1,0,1,50,36,38,82,28,84,1,0.0119047619047619
104,0,2,6,"rhombus",3,1,355,0,10,0.823529411764706,0.19327731092437,"rhombus",0,37,22,32,30,45,0,72,59,37,0.627118644067797
104,0,3,1,"square",1,2,5,1,10,0.899159663865546,0.71551724137931,"square",20,0,34,53,30,34,53,11,107,53,0.495327102803738
104,0,3,2,"isosceles_triangle",2,2,25,0,10,0.716666666666667,0,"isosceles_triangle",0,0,26,55,5,0,0,154,26,0,0
104,0,3,3,"pentagon",3,2,5,1,10,0.621848739495798,0.791666666666667,"pentagon",17,0,0,50,45,25,57,45,74,0,0
104,0,3,4,"object",0,2,25,0,10,1,1,"duck",0,0,114,17,24,0,84,0,198,NA,NA
104,0,3,5,"equilateral_triangle",1,2,5,0,10,0.983193277310924,0.3,"equilateral_triangle",35,0,52,59,7,85,0,1,87,0,0
104,0,3,6,"rhombus",2,2,25,0,10,0.529411764705882,0.308333333333333,"rhombus",2,1,2,39,16,99,40,40,45,2,0.0444444444444444
105,0,1,1,"square",4,2,325,1,3,0.899159663865546,0.504201680672269,"square",0,0,0,52,4,69,111,2,111,0,0
105,0,1,2,"rhombus",3,2,355,0,3,0.638655462184874,0.225806451612903,"rhombus",0,0,0,38,32,132,34,7,34,0,0
105,0,1,3,"equilateral_triangle",2,2,325,0,3,0.775862068965517,0.133333333333333,"equilateral_triangle",0,51,1,48,6,44,0,86,52,0,0
105,0,1,4,"isosceles_triangle",1,2,355,0,3,0.991596638655462,0,"isosceles_triangle",0,0,0,50,19,66,49,56,49,49,1
105,0,1,5,"object",0,2,325,0,3,1,1,"duck",16,0,0,7,16,0,200,0,216,NA,NA
105,0,1,6,"pentagon",3,2,355,1,3,0.957983193277311,0.853448275862069,"pentagon",0,81,0,35,21,21,76,1,157,81,0.515923566878981
105,0,2,1,"square",1,1,5,0,3,1,0,"square",0,43,0,48,2,119,26,0,69,26,0.376811594202899
105,0,2,2,"rhombus",2,1,25,0,3,0,0.267241379310345,"rhombus",0,0,0,0,3,199,28,2,28,0,0
105,0,2,3,"equilateral_triangle",3,1,5,0,3,0.865546218487395,0,"equilateral_triangle",1,0,0,83,19,133,0,1,1,0,0
105,0,2,4,"isosceles_triangle",4,1,25,0,3,0.352941176470588,1,"isosceles_triangle",0,1,0,41,15,0,105,77,106,0,0
105,0,2,5,"object",2,1,5,1,3,1,1,"car",34,55,0,9,5,0,136,0,225,34,0.151111111111111
105,0,2,6,"pentagon",2,1,25,0,3,0.745762711864407,0,"pentagon",1,0,0,85,2,121,0,31,1,1,1
106,1,1,1,"square",4,2,325,1,15,0.831932773109244,0.6,"square",0,34,29,27,22,0,59,68,122,29,0.237704918032787
106,1,1,2,"rhombus",3,2,355,1,15,0.882352941176471,1,"rhombus",24,46,0,30,8,0,118,14,188,46,0.24468085106383
106,1,1,3,"equilateral_triangle",2,2,325,1,15,1,0.541666666666667,"equilateral_triangle",0,0,65,30,2,0,87,55,152,0,0
106,1,1,4,"isosceles_triangle",1,2,355,1,15,0.840336134453782,0.752066115702479,"isosceles_triangle",0,62,0,6,2,0,121,49,183,121,0.66120218579235
106,1,1,5,"object",0,2,325,0,15,1,1,"duck",24,11,89,7,19,0,89,0,213,NA,NA
106,1,1,6,"pentagon",3,2,355,1,15,0.966386554621849,0.845528455284553,"pentagon",76,0,0,29,14,23,100,0,176,0,0
106,1,2,1,"square",1,1,5,1,15,0.739495798319328,0.75,"square",0,32,27,25,19,0,75,61,134,75,0.559701492537313
106,1,2,2,"rhombus",2,1,25,0,15,0.672268907563025,0.175,"rhombus",0,17,21,30,19,1,14,137,52,0,0
106,1,2,3,"equilateral_triangle",3,1,5,1,15,0.675,0.620689655172414,"equilateral_triangle",0,0,109,40,4,20,0,63,109,0,0
106,1,2,4,"isosceles_triangle",4,1,25,1,15,1,0.9,"isosceles_triangle",75,23,16,10,35,0,68,12,182,16,0.0879120879120879
106,1,2,5,"object",2,1,5,1,15,1,1,"car",102,33,55,1,6,0,43,0,233,102,0.437768240343348
106,1,2,6,"pentagon",2,1,25,1,15,0.73109243697479,0.85,"pentagon",0,1,46,32,49,21,61,29,108,0,0
106,1,3,1,"square",2,2,25,1,15,0.53781512605042,0.925,"square",23,26,11,25,44,6,46,58,106,23,0.216981132075472
106,1,3,2,"rhombus",1,2,5,1,15,0.781512605042017,1,"rhombus",63,0,34,25,32,1,59,25,156,59,0.378205128205128
106,1,3,3,"equilateral_triangle",4,2,25,0,15,0.258620689655172,0.0916666666666667,"equilateral_triangle",0,2,0,8,9,195,22,0,24,0,0
106,1,3,4,"isosceles_triangle",3,2,5,0,15,0.218487394957983,0,"isosceles_triangle",0,0,0,26,0,130,0,83,0,0,NA
106,1,3,5,"object",0,2,25,0,15,1,0.867768595041322,"duck",28,0,91,6,31,16,67,0,186,NA,NA
106,1,3,6,"pentagon",3,2,5,0,15,0.191304347826087,0,"pentagon",0,0,0,17,5,212,0,0,0,0,NA
106,1,4,1,"square",3,1,355,1,15,0.504132231404959,0.941666666666667,"square",0,53,39,0,82,21,0,46,92,53,0.576086956521739
106,1,4,2,"rhombus",4,1,325,0,15,0.65546218487395,0.41025641025641,"rhombus",33,19,0,0,74,92,0,18,52,0,0
106,1,4,3,"equilateral_triangle",1,1,355,0,15,0.186991869918699,0.504273504273504,"equilateral_triangle",1,0,0,0,6,105,75,53,76,75,0.986842105263158
106,1,4,4,"isosceles_triangle",2,1,325,1,15,0.697478991596639,0.758333333333333,"isosceles_triangle",26,0,42,26,50,1,30,64,98,26,0.26530612244898
106,1,4,5,"object",4,1,355,1,15,0.666666666666667,1,"car",52,10,62,2,40,40,34,0,158,62,0.392405063291139
106,1,4,6,"pentagon",4,1,325,0,15,0.512605042016807,0.0578512396694215,"pentagon",4,2,39,20,3,59,0,113,45,39,0.866666666666667
107,0,1,1,"isosceles_triangle",1,2,25,0,9,0.184873949579832,0.9,"isosceles_triangle",52,0,3,12,17,109,46,0,101,46,0.455445544554455
107,0,1,2,"object",3,2,5,1,9,1,1,"duck",29,78,0,15,8,0,109,0,216,78,0.361111111111111
107,0,1,3,"square",4,2,25,1,9,0.882352941176471,0.87603305785124,"square",39,0,0,10,1,29,161,0,200,0,0
107,0,1,4,"rhombus",3,2,5,1,9,1,1,"rhombus",60,0,67,12,9,0,91,0,218,0,0
107,0,1,5,"pentagon",1,2,25,1,9,0.907563025210084,1,"pentagon",40,1,0,4,5,11,178,0,219,178,0.812785388127854
107,0,1,6,"equilateral_triangle",2,2,5,1,9,0.941176470588235,0.933333333333333,"equilateral_triangle",0,0,76,39,27,15,82,0,158,0,0
107,0,2,1,"isosceles_triangle",2,1,355,0,9,0.915966386554622,0,"isosceles_triangle",0,1,0,38,21,130,49,0,50,0,0
107,0,2,2,"object",0,1,325,0,9,1,1,"car",73,1,24,4,42,0,96,0,194,NA,NA
107,0,2,3,"square",3,1,355,1,9,0.907563025210084,1,"square",41,0,0,7,1,11,179,0,220,0,0
107,0,2,4,"rhombus",1,1,325,1,9,0.92436974789916,1,"rhombus",33,0,0,3,3,9,192,0,225,192,0.853333333333333
107,0,2,5,"pentagon",2,1,355,1,9,1,0.983333333333333,"pentagon",0,0,33,32,2,2,170,0,203,0,0
107,0,2,6,"equilateral_triangle",4,1,325,1,9,0.983193277310924,0.933884297520661,"equilateral_triangle",0,21,0,29,3,10,177,0,198,0,0
108,1,1,1,"isosceles_triangle",1,2,25,0,14,0,0.886178861788618,"isosceles_triangle",26,40,0,1,16,133,26,0,92,26,0.282608695652174
108,1,1,2,"object",3,2,5,1,14,0.983193277310924,1,"duck",5,82,66,8,8,2,69,0,222,82,0.369369369369369
108,1,1,3,"square",4,2,25,0,14,1,0,"square",19,0,86,1,13,71,0,49,105,86,0.819047619047619
108,1,1,4,"rhombus",3,2,5,0,14,0,0.528455284552846,"rhombus",0,0,48,0,17,169,0,12,48,0,0
108,1,1,5,"pentagon",1,2,25,0,14,0,0,"pentagon",0,0,0,0,0,239,0,0,0,0,NA
108,1,1,6,"equilateral_triangle",2,2,5,1,14,1,1,"equilateral_triangle",70,103,0,6,6,0,54,0,227,70,0.308370044052863
108,1,2,1,"isosceles_triangle",2,1,355,1,14,1,1,"isosceles_triangle",36,139,0,6,20,0,38,0,213,36,0.169014084507042
108,1,2,2,"object",0,1,325,0,14,1,1,"car",75,76,0,12,2,0,75,0,226,NA,NA
108,1,2,3,"square",3,1,355,1,14,1,1,"square",59,133,0,3,4,0,40,0,232,133,0.573275862068966
108,1,2,4,"rhombus",1,1,325,1,14,1,1,"rhombus",131,47,0,4,3,0,55,0,233,55,0.236051502145923
108,1,2,5,"pentagon",2,1,355,0,14,1,0.441666666666667,"pentagon",0,106,0,5,1,0,60,67,166,0,0
108,1,2,6,"equilateral_triangle",4,1,325,1,14,1,0.942148760330578,"equilateral_triangle",144,36,0,6,6,7,41,0,221,0,0
108,1,3,1,"isosceles_triangle",3,2,325,0,14,1,1,"isosceles_triangle",113,60,0,4,4,0,88,0,261,60,0.229885057471264
108,1,3,2,"object",2,2,355,1,14,1,1,"duck",0,119,0,5,3,0,113,0,232,0,0
108,1,3,3,"square",2,2,325,1,14,1,0.783333333333333,"square",107,56,0,2,26,26,22,0,185,107,0.578378378378378
108,1,3,4,"rhombus",4,2,355,1,14,0.991596638655462,0.883333333333333,"rhombus",0,57,0,5,2,15,160,0,217,0,0
108,1,3,5,"pentagon",3,2,325,1,14,1,1,"pentagon",0,64,0,3,2,0,170,0,234,64,0.273504273504274
108,1,3,6,"equilateral_triangle",1,2,355,1,14,0.798319327731092,0.883333333333333,"equilateral_triangle",43,0,103,20,35,1,0,37,146,0,0
108,1,4,1,"isosceles_triangle",4,1,5,1,14,0.915966386554622,0.983333333333333,"isosceles_triangle",134,37,33,4,19,10,0,2,204,33,0.161764705882353
108,1,4,2,"object",4,1,25,1,14,1,1,"car",75,26,95,6,18,0,19,0,215,95,0.441860465116279
108,1,4,3,"square",1,1,5,0,14,1,1,"square",0,0,0,7,232,0,0,0,0,0,NA
108,1,4,4,"rhombus",2,1,25,1,14,1,1,"rhombus",0,0,239,0,0,0,0,0,239,0,0
108,1,4,5,"pentagon",4,1,5,0,14,0,0.529411764705882,"pentagon",17,0,42,0,4,176,0,0,59,42,0.711864406779661
108,1,4,6,"equilateral_triangle",3,1,25,0,14,0.0840336134453782,0,"equilateral_triangle",8,0,0,0,2,228,0,1,8,0,0
109,1,1,1,"isosceles_triangle",2,2,355,0,11,0.92436974789916,0.408333333333333,"isosceles_triangle",0,60,0,34,16,16,49,64,109,0,0
109,1,1,2,"pentagon",4,2,325,1,11,0.756302521008403,0.591666666666667,"pentagon",0,119,0,40,2,0,0,78,119,0,0
109,1,1,3,"object",4,2,355,1,11,1,1,"duck",0,92,88,11,2,0,46,0,226,88,0.389380530973451
109,1,1,4,"equilateral_triangle",1,2,325,1,11,0.605042016806723,1,"equilateral_triangle",0,164,0,28,0,0,0,47,164,0,0
109,1,1,5,"rhombus",2,2,355,1,11,0.873949579831933,0.675,"rhombus",37,0,52,34,62,33,0,21,89,37,0.415730337078652
109,1,1,6,"square",4,2,325,1,11,0.940677966101695,1,"square",0,34,54,36,107,7,0,0,88,54,0.613636363636364
109,1,2,1,"isosceles_triangle",3,1,325,1,11,0.848739495798319,0.9,"isosceles_triangle",1,0,34,62,59,30,53,0,88,0,0
109,1,2,2,"pentagon",1,1,355,1,11,0.873949579831933,0.966942148760331,"pentagon",0,78,38,31,19,19,55,0,171,55,0.321637426900585
109,1,2,3,"object",3,1,325,1,11,1,1,"car",0,94,71,21,2,0,51,0,216,94,0.435185185185185
109,1,2,4,"equilateral_triangle",4,1,355,0,11,0.80672268907563,0.327731092436975,"equilateral_triangle",0,85,0,47,3,80,0,23,85,0,0
109,1,2,5,"rhombus",3,1,325,1,11,0.65546218487395,0.508333333333333,"rhombus",0,86,0,28,25,25,0,75,86,86,1
109,1,2,6,"square",1,1,355,0,11,0.478991596638655,0,"square",0,1,0,21,33,176,2,5,3,2,0.666666666666667
109,1,3,1,"isosceles_triangle",4,2,5,0,11,0.873949579831933,0.441666666666667,"isosceles_triangle",0,50,40,34,33,6,0,76,90,40,0.444444444444444
109,1,3,2,"pentagon",3,2,25,1,11,0.53781512605042,0.841666666666667,"pentagon",27,0,66,31,41,30,0,44,93,0,0
109,1,3,3,"object",2,2,5,1,11,1,1,"duck",60,62,0,16,28,0,73,0,195,60,0.307692307692308
109,1,3,4,"equilateral_triangle",2,2,25,0,11,0.890756302521008,0,"equilateral_triangle",0,1,0,36,2,13,67,121,68,0,0
109,1,3,5,"rhombus",4,2,5,0,11,0.436974789915966,0.45,"rhombus",0,54,0,12,40,21,0,112,54,0,0
109,1,3,6,"square",3,2,25,0,11,0.638655462184874,0,"square",0,0,0,41,1,132,34,31,34,0,0
109,1,4,1,"isosceles_triangle",1,1,25,0,11,0.495798319327731,0.26890756302521,"isosceles_triangle",0,1,35,22,3,96,30,51,66,30,0.454545454545455
109,1,4,2,"pentagon",2,1,5,0,11,0.823529411764706,0,"pentagon",0,0,0,46,1,137,51,4,51,0,0
109,1,4,3,"object",0,1,25,0,11,1,1,"car",0,58,46,3,19,0,113,0,217,NA,NA
109,1,4,4,"equilateral_triangle",3,1,5,0,11,0.848739495798319,0.1,"equilateral_triangle",25,0,36,34,22,118,0,44,61,0,0
109,1,4,5,"rhombus",1,1,25,0,11,0.1,0.355371900826446,"rhombus",0,43,12,0,0,66,0,120,55,0,0
109,1,4,6,"square",2,1,5,0,11,0.739495798319328,0.225,"square",0,26,57,26,6,10,0,114,83,0,0
110,1,1,1,"isosceles_triangle",3,1,325,1,13,0.92436974789916,1,"isosceles_triangle",0,107,44,6,55,9,18,0,169,107,0.633136094674556
110,1,1,2,"square",1,1,355,0,13,1,0.453781512605042,"square",1,131,31,6,4,63,0,2,163,0,0
110,1,1,3,"pentagon",2,1,325,1,13,1,1,"pentagon",0,92,47,28,51,0,22,0,161,0,0
110,1,1,4,"object",0,1,355,0,13,1,1,"duck",0,171,60,6,2,0,0,0,231,NA,NA
110,1,1,5,"equilateral_triangle",3,1,325,1,13,0.915966386554622,1,"equilateral_triangle",0,61,159,7,3,10,0,0,220,61,0.277272727272727
110,1,1,6,"rhombus",1,1,355,0,13,0.882352941176471,0.226890756302521,"rhombus",23,23,42,13,31,105,0,1,88,0,0
110,1,2,1,"isosceles_triangle",4,2,5,0,13,0.966666666666667,1,"isosceles_triangle",0,59,134,23,19,5,30,0,223,134,0.600896860986547
110,1,2,2,"square",3,2,25,1,13,1,0.908333333333333,"square",0,47,105,34,42,11,0,0,152,47,0.309210526315789
110,1,2,3,"pentagon",1,2,5,1,13,0.92436974789916,0.95,"pentagon",0,78,60,10,52,15,24,0,162,24,0.148148148148148
110,1,2,4,"object",3,2,25,1,13,1,1,"car",0,129,53,6,21,0,30,0,212,129,0.608490566037736
110,1,2,5,"equilateral_triangle",4,2,5,1,13,0.781512605042017,0.891666666666667,"equilateral_triangle",0,81,50,5,64,29,0,10,131,50,0.381679389312977
110,1,2,6,"rhombus",3,2,25,1,13,1,0.6,"rhombus",0,98,0,47,14,0,32,48,130,98,0.753846153846154
110,1,3,1,"isosceles_triangle",1,1,25,1,13,0.966386554621849,0.966666666666667,"isosceles_triangle",0,41,68,35,87,5,0,3,109,0,0
110,1,3,2,"square",2,1,5,0,13,0.495652173913044,1,"square",0,21,0,34,29,56,93,2,114,0,0
110,1,3,3,"pentagon",4,1,25,1,13,0.711864406779661,0.520661157024793,"pentagon",4,60,1,28,20,92,34,0,99,1,0.0101010101010101
110,1,3,4,"object",4,1,5,1,13,1,1,"duck",35,71,20,9,6,0,98,0,224,20,0.0892857142857143
110,1,3,5,"equilateral_triangle",1,1,25,1,13,1,0.975,"equilateral_triangle",38,52,2,50,26,0,69,3,161,69,0.428571428571429
110,1,3,6,"rhombus",2,1,5,1,13,1,1,"rhombus",0,120,46,73,0,0,0,0,166,0,0
110,1,4,1,"isosceles_triangle",2,2,355,0,13,1,0.46551724137931,"isosceles_triangle",30,63,48,8,11,61,13,1,154,30,0.194805194805195
110,1,4,2,"square",4,2,325,0,13,0.285714285714286,0.366666666666667,"square",0,48,0,28,2,105,0,56,48,0,0
111,0,1,1,"isosceles_triangle",4,1,5,1,1,1,0.958333333333333,"isosceles_triangle",0,59,32,35,31,5,77,0,168,32,0.19047619047619
111,0,1,2,"equilateral_triangle",3,1,25,0,1,0.747899159663866,0.0258620689655172,"equilateral_triangle",17,1,3,70,1,44,0,99,21,1,0.0476190476190476
111,0,1,3,"rhombus",1,1,5,0,1,0.436974789915966,0,"rhombus",0,2,0,1,49,11,0,176,2,0,0
111,0,1,4,"square",2,1,25,0,1,0.672268907563025,0.436974789915966,"square",24,0,35,26,47,71,0,35,59,24,0.406779661016949
111,0,1,5,"object",0,1,5,0,1,0.991596638655462,1,"duck",22,5,125,0,16,0,70,1,222,NA,NA
111,0,1,6,"pentagon",3,1,25,0,1,0.689075630252101,0.270491803278689,"pentagon",40,0,25,0,50,18,0,108,65,0,0
111,0,2,1,"isosceles_triangle",1,2,25,0,1,0.445378151260504,0,"isosceles_triangle",0,0,0,51,2,88,0,102,0,0,NA
111,0,2,2,"equilateral_triangle",2,2,5,0,1,0.815126050420168,0.179487179487179,"equilateral_triangle",26,0,24,6,62,96,0,22,50,26,0.52
111,0,2,3,"rhombus",4,2,25,0,1,0,0,"rhombus",0,0,0,0,0,203,0,37,0,0,NA
111,0,2,4,"square",3,2,5,0,1,0.347457627118644,0.336134453781513,"square",1,0,0,37,43,155,0,1,1,0,0
111,0,2,5,"object",2,2,25,0,1,0,0.916666666666667,"car",23,24,31,0,4,100,28,30,106,23,0.216981132075472
111,0,2,6,"pentagon",2,2,5,0,1,0.0583333333333333,0,"pentagon",0,0,0,0,7,191,0,46,0,0,NA
111,0,3,1,"isosceles_triangle",2,1,355,0,1,0.271186440677966,0.040650406504065,"isosceles_triangle",0,5,0,32,0,177,0,27,5,0,0
111,0,3,2,"equilateral_triangle",4,1,325,0,1,0,0.0756302521008403,"equilateral_triangle",0,0,0,0,9,214,0,19,0,0,NA
111,0,3,3,"rhombus",3,1,355,0,1,0,0,"rhombus",0,0,0,0,0,162,0,78,0,0,NA
111,0,3,4,"square",1,1,325,0,1,0,0.325,"square",0,0,24,0,15,24,0,176,24,0,0
111,0,3,5,"object",3,1,355,0,1,0.80672268907563,0,"duck",29,58,0,4,5,116,0,23,87,58,0.666666666666667
111,0,3,6,"pentagon",4,1,325,0,1,0,0,"pentagon",0,0,0,0,0,1,0,238,0,0,NA
112,1,1,1,"isosceles_triangle",4,1,5,1,17,1,0.884297520661157,"isosceles_triangle",32,58,0,52,3,0,81,14,171,0,0
